Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Tanggal,Terlaris,Bulan
Elektronik,Advancegroup,Jakarta Utara,{{ EXCLUSIVE TONI CU }} Advance Digitals Mini Rice Cooker G-06 Digital 0.6L Anti Lengket Kapasitas 0.6 Liter Daya 200Watt Cocok untuk Memasak Nasi & Membuat Bubur,149000,2,5.0,2025-05-21,0,2025-05
Elektronik,bilakeStore,Kab. Bogor,COD Deek-Robot Adaptor Power Supply Converter AC to DC 24V 2A LED Strip - 2420-EU Elektronik Lampu,56340,0,0.0,2025-07-11,0,2025-07
Elektronik,EP Elektronik,Kab. Lamongan,Box Speaker Miniatur CBS 3inch Siap Pakai || Kualitas Premium,60350,2,5.0,2025-07-07,0,2025-07
Elektronik,MyHartono,Bandung,Philips Pengering Rambut Hair Dryer HP8126,249000,250,5.0,2025-05-28,0,2025-05
Elektronik,RANStore ID,Jakarta Barat,Obeng Multifungsi Mini 31 in 1 Set Perbaikan Elektronik & Gadget Serbaguna,27000,0,0.0,2025-05-01,0,2025-05
Elektronik,SamoyedOfficial,Bandung,SAMOYED SRWS-T24 Obeng Presisi Magnet Kecil Serba Guna / Reparasi / Servis Elektronik / Komputer / HP / Portable Magnetic Precision Screwdriver Set 24 in 1,14220,1,0.0,2025-04-26,0,2025-04
Elektronik,DWI BISONO TAHAR JULIANTO,Tangerang,Bonkyo Tool Bags/Tas Perkakas 13/18 inch Bahan Kain Oxford Multifungs /Alat Perkakas,73990,4,5.0,2025-06-26,0,2025-06
Elektronik,BeautyHub Shop,Kab. Tangerang,"Nikai NK-7587 : Shaver Modern dengan Desain Double Mesh, Motor Tembaga Kuat, dan Pengisian USB Type-C",168500,0,0.0,2025-06-06,0,2025-06
Elektronik,Bigchoix,Kab. Tangerang,Set Obeng Kembang Minus 24in1 Reparasi Perbaikan HP Laptop & Elektronik,17945,1,0.0,2025-04-17,0,2025-04
Elektronik,LifestyleHub Shop,Kab. Tangerang,"[COD] GM Bear Panci Listrik 22cm 1226 – Serbaguna, Stylish & Praktis untuk Masak Harian!",109900,15,5.0,2025-06-10,0,2025-06
Elektronik,BeautyHub Shop,Kab. Tangerang,TERATU BEAUTY Special Free Gift,70000,0,0.0,2025-07-15,0,2025-07
Elektronik,YouXi Store,Jakarta Barat,Obeng Plus Minus Mini Kembang Bunga Barang Elektronik Kecil I Kacamata Hardisk 8 cm,750,1,0.0,2025-06-23,0,2025-06
Elektronik,Philips Home Appliances,Jakarta Utara,Philips Kettle Teko Listrik HD9314/92 Hitam - Philips Teko Pemanas Air Listrik 1.7 Liter,367700,500,4.9,2025-07-04,0,2025-07
Elektronik,EP Elektronik,Kab. Lamongan,Box Spiker Miniatur CBS 3inch Siap Pakai,55250,2,5.0,2025-07-01,0,2025-07
Elektronik,Livia Elektronik,Bekasi,TERBARU [PAKET ISI 4PCS]  Lampu  philiipss Led 12 Watt Promo Multipack MyCare Bulb 12w beli 3 Gratis 1 terbatas,54500,60,5.0,2025-05-25,0,2025-05
Elektronik,BOLTIX,Jakarta Selatan,BOLTIX Set Obeng Service HP Laptop Tabket Elektronik Lcd 115 in 1 Mutlifungsi Full Set Alat Bongkar Mini Precision,67900,4,5.0,2025-06-24,0,2025-06
Elektronik,future store,Tangerang,WEILAI WI-8004 OBENG SET 63 IN 1 FOR HP LAPTOP PRECISION SCREWDRIVER TOOL KIT ORIGINAL - OBENG SET LENGKAP TEKNISI 63 IN 1 - OBENG MAGNETIK 63 IN 1 LENGKAP - OBENG SERVICE HANDPHONE LAPTOP ELEKTRONIK,92130,5,5.0,2025-05-18,0,2025-05
Elektronik,korneva shop,Jakarta Barat,COD Jinjiu Kipas Printer 3D Cooling Fan Blower Ball Bearing 6000 RPM 24V - 5051 Elektronik Sticker,38805,0,0.0,2025-04-30,0,2025-04
Elektronik,QUEEN id Official,Kab. Tangerang,KIIP Vacuum Cleaner Wireless Portable 16000Pa Penyedot Penghisap Debu Genggam 3in1 Mobil Rumah Multifungsi - VC127,349000,100,5.0,2025-05-12,0,2025-05
Elektronik,korneva shop,Jakarta Barat,COD Deek-Robot Adaptor Power Supply Converter AC to DC 24V 2A LED Strip - 2420-EU Elektronik Lampu,61035,0,0.0,2025-04-23,0,2025-04
Elektronik,Shero1031-TK,Jakarta Utara,Obeng Set 24in1 Kepala Magnetic / Alat Perkakas Perlengkapan Service HP Jam Tangan Laptop Komputer Kamera Drone Elektronik / Screwdriver Bits Hardware Tools 24Pcs ///  Peralatan Tangan Pembuka Skrup Baut Alat Bengkel Elektronik Serbaguna,23500,0,0.0,2025-07-15,0,2025-07
Elektronik,HANRIVER,Tangerang,（COD）HAN RIVER Vacuum Cleaner Portabel Hisap Dan Mengepel 2 In 1 Anpa Kabel Genggam Penyedot Debu,209000,2000,4.8,2025-05-17,1,2025-05
Elektronik,korneva shop,Jakarta Barat,COD ROBOTSKY Kabel Ekstensi Extension Cable USB 3.0 Male ke Female - A27 Komputer Elektronik,96906,0,0.0,2025-05-07,0,2025-05
Elektronik,BeautyHub Shop,Kab. Tangerang,NIKAI NK-7082 : Alat Cukur 3 in 1 Multifungsi dengan Pisau Mengambang Independen dan Baterai Isi Ulang,99500,0,0.0,2025-05-22,0,2025-05
Elektronik,Tekno Homeliving,Jakarta Barat,Timbangan Koper Elektronik Portable Stainless Travel Luggage Scale Maks 50kg,27000,70,4.8,2025-06-15,0,2025-06
Elektronik,Keelat DIY Store,Tangerang,【KEELAT KCVC05】 4000mAh Wireless Vacuum Portable Penghisap Debu Serbaguna Mini Penyedot Debu Mobil Rumah  Model terbaru tahun 2025,499000,28,5.0,2025-07-15,0,2025-07
Elektronik,Aryansri06,Bandung,"Tang Terminasi Kabel Konektor Kawat kabel Listrik, Terminal Crimping Konektor Pipa Tembaga Terminasi Penyambungan Berbentuk U/O 2.8/4.8/6.3mm Elektronik Kendaraan & GPS | Instalasi Audio & Video Mobil",55272,50,4.9,2025-05-29,0,2025-05
Elektronik,SamoyedOfficial,Bandung,SAMOYED SRWS-S24 Obeng Presisi Magnet Kecil Serba Guna / Reparasi / Servis Elektronik / Komputer / HP / Portable Magnetic Precision Screwdriver Set 24 in 1,10150,0,0.0,2025-04-28,0,2025-04
Elektronik,XOBOX.ID,Kab. Tangerang,Obeng Set Isi 24in1 Obeng Magnet Multifungsi Servis Hp Laptop Obeng Set 24 Pcs HM1049,9500,60,4.7,2025-06-08,0,2025-06
Elektronik,korneva shop,Jakarta Barat,COD VBS Adaptor Power Supply Converter AC to DC 12V 4A LED Strip Monitor - 1240 Elektronik Lampu,79236,0,0.0,2025-05-14,0,2025-05
Elektronik,korneva shop,Jakarta Barat,COD WorldChips Kabel USB Power Boost Step Up 5V to 9V 1A 2.1x5.5mm - TQ5 Computer Elektronik,63798,0,0.0,2025-05-08,0,2025-05
Elektronik,KiiP Collection Gadget,Tangerang,KiiP Vacuum Cleaner Portabel Tanpa Kabel Genggam 16000Pa 3 in 1 Penghisap Debu Mobil Wireless Kasur Penyedot Debu Vakum,369000,100,4.9,2025-06-15,0,2025-06
Elektronik,8gb Official Store_NEW,Malang,1 Pasang DC Power Plug Male + Female Jack Adapter Connector Plug Adaptor Kabel Pompa Air CCTV Elektronik Alat,4600,8,5.0,2025-06-26,0,2025-06
