,Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Tanggal
20272,Buku,Master bookshop,Depok,Daftar buku utama karya Thomas Erikson ( English ),57000,0,0.0,8/1/2025
20273,Buku,Master bookshop,Depok,Daftar buku utama karya Peter Lynch (English),66500,0,0.0,8/1/2025
20274,Buku,Master bookshop,Depok,Daftar buku utama karya James Clear (English),33250,0,0.0,8/1/2025
20275,Buku,Master bookshop,Depok,Daftar buku utama karya Daniel J. Siegel ( English ),47500,0,0.0,8/1/2025
20276,Buku,Buku Anak Solo,Kab. Karanganyar,(Isi 3 buku) Paket Aku Hafal Doa Harian dan Hadis Pilihan - Ziyadbooks,89000,0,0.0,8/1/2025
20277,Buku,Master bookshop,Depok,Daftar buku utama karya Stephen R. Covey ( English ),66500,0,0.0,8/1/2025
20278,Dapur,Soru Indonesia,Bandung,SORU Pisau Dapur Stainless SUS 201 Tebal – 23cm / 28cm / 30cm / 32cm – Tajam & Serbaguna SUBRON,24750,0,0.0,8/1/2025
20279,Dapur,Martha Karpet Surabaya,Surabaya,Karpet Kitchen Mat 1 Set Warna Camel – Anti Slip & Anti Licin untuk Dapur 40 x 70cm dan 40 x 140cm,305000,0,0.0,8/1/2025
20280,Dapur,Martha Karpet Semarang,Semarang,"Karpet Dapur Premium, Kitchen Rugs Mats, Keset dapur bersih Anti Slip Modern 40cm x 140cm",202500,0,0.0,8/1/2025
20281,Dapur,UPHOME Official Shop,Tangerang,UPHOME Rak Kosmetik Transparan Berputar 360° / Rak Penyimpanan Putar Meja Putar Dapur Botol Bumbu Transparan / Amber Gold Aesthetic Tray Minum,48000,0,0.0,8/1/2025
20282,Dapur,Martha Karpet Semarang,Semarang,"Karpet Dapur Premium, Kitchen Rugs Mats, Keset dapur bersih Anti Slip Modern 40cm x 70cm",102500,0,0.0,8/1/2025
20283,Dapur,Royalstar Indonesia,Tangerang,Royalstar Lemari Kabinet Dapur Serbaguna 4 5 Susun Rak Kabinet Penyimpanan Multifungsi Baja Carbon Rak Multifungsi Anti Karat Tahan Lama Kokoh Rak Serbaguna,899000,0,0.0,8/1/2025
20284,Dapur,Royalstar Indonesia,Tangerang,[NEW] Royalstar Rak Lemari Kabinet Dapur Stainless Steel 5 6 Susun Rak Penyimpanan Serbaguna Anti Karat Kuat Kokoh Rak Dapur Multifungsi,1099000,0,0.0,8/1/2025
20285,Dapur,ES Cookware Official,Tangerang,ESCOOK Rak Lemari Dapur Serbaguna Stainless Baja Carbon Anti Karat Kuat Kokoh Rak Penyimpanan Multifungsi Lemari Penyimpanan Untuk Microwave,1099000,0,0.0,8/1/2025
20286,Dapur,ES Cookware Official,Tangerang,ESCOOK Lemari Kabinet Piring Dapur 4 / 5  Susun Rak Lemari Serbaguna Baja Carbon Anti Karat Tahan Lama Kokoh Lemari Penyimpanan Multifungsi,899000,0,0.0,8/1/2025
20287,Dapur,Unix Store 88,Jakarta Utara,Kotak Makan Sekat & Anti Tumpah Wadah Bumbu Dapur Praktis Fridge-Safe Divided Anti-Spill Container for Cooking Essentials D01,60000,0,0.0,8/1/2025
20288,Dapur,Morning Star 888,Jakarta Utara,Nampan Penyajian Food and Beverages Baki Saji untuk Dapur Nampan Saji Acara GlimmerTray Elegant Kitchen & Snack Serving Tray J1,94737,0,0.0,8/1/2025
20289,Dapur,Morning Star 888,Jakarta Utara,Kotak Bumbu Dapur Bersekat Bento Box Anti Tumpah dan Rapi Wadah Multiguna Secure Dividers for Kitchen Storage D01,60000,0,0.0,8/1/2025
20290,Dapur,Nanjiren official store,Tangerang,Nanjiren Lemari Kabinet Piring Dapur Serbaguna Rak Lemari Penyimpanan Baja Carbon Anti Karat Kuat Kokoh Lemari Penyimpanan Multifungsi,899000,0,0.0,8/1/2025
20291,Dapur,Nanjiren official store,Tangerang,[NEW] Nanjiren Lemari Kabinet Dapur Serbaguna Stainless Steel Anti Karat Kuat Kokoh Rak Penyimpanan Serbaguna Dengan Tutup Rak Dapur Multifungsi,1099000,0,0.0,8/1/2025
20292,Dapur,freemir Indonesia Store,Kab. Bekasi,[XCLSV Kokopanci 25 Aug] freemir Panci Mini Aestheti Gemoy Beige MPASI 12cm Bahan Batu Granit Cekung Wajan Anti Lengket Peralatan Aman untuk MPASI Bayi Dapur Kitchenware,139000,0,0.0,8/1/2025
20293,Dapur,Funnycook.Indonesia,Jakarta Utara,[EXCLUSIVE AMELIAKHYAR] DAPAT 2PCS Funnycook Panci Korea Ramen 18cm SILVER GOLD Stainless Steel Tebal Hot Pot Ramyeon  Kitchenware Multifungsi Alat Dapur Emas,139900,0,0.0,8/1/2025
20294,Dapur,One Nice Toys,Jakarta Utara,Rak Cangkir Rak susun Serbaguna Rak Meja Rak Dapur rak bumbu/Rak Aqua Gelas Estetik Rak Serbaguna Tempat Kosmetik Tempat Aqua Gelas Estetik Mewah/Cangkir kopi/gelas mug/gelas rak/penyangga botol bumbu dapur,189900,0,0.0,8/1/2025
20295,Dapur,ES Indonesia,Tangerang,ES Rak Dapur Lemari Dapur Dengan Pintu Rak Penyimpanan Microwave Oven Lemari Piring Rak Serbaguna Stainless Kokoh Kuat Anti Karat,1098000,0,0.0,8/1/2025
20296,Dapur,ES Indonesia,Tangerang,ES Lemari Dapur Rak Dapur Serbaguna Lemari Piring Minimalis Rak Kabinet Rak Penyimpanan Rak Roda Rak Dapur Susun Baja Kuat Kokoh Anti Karat,898000,0,0.0,8/1/2025
20297,Dapur,Toko Aman Bangun,Medan,Safety Jogger Works Sepatu Safety Jogger Bestclog Upper Karet Cocok di Dapur Anti Selip dengan Perlindungan Sol Anti Selip SRC,399600,0,0.0,8/1/2025
