,Kategori,Nama_Toko,Lokasi_Toko,Nama_Produk,Harga_Produk,Terjual,Rating,Terlaris
16223,Perlengkapan Pesta,Bukuutama,Kab. Sleman,"BUKU PATEN UJIAN MANDIRI (SIMAK UI, UNDIP, ITB) 2025/2026 - Buku Tes Seleksi Masuk Mandiri UI, UNDIP, ITB) Dilengkapi Soal FR Asli & Pembahasan -Soft Cover",97500,1000,5,1
16224,Perlengkapan Pesta,Glumevit Store,Kab. Karanganyar,[Ads] Glumevit Smooth Foot & Hand Cream Paket 1 Pcs - Perawatan Lengkap untuk Kulit Kasar & Kering,27000,5000,4.9,1
16225,Perlengkapan Pesta,DC Online Jacky,Tangerang,✅ 100% Asli ✅ Original Import Minyak Krill Antartika/Kapsul Suplemen Astaxanthin/Minyak Udang Mengandung Fosfor/Baik untuk Kesehatan Jantung dan Persendian/Omega-3 Pelindung dengan Manfaat Antioksidan/Suplemen Makanan Alami Aman Cepat Diserap,57240,9000,4.7,1
16226,Perlengkapan Pesta,PAUL'S SUPER SHOP,Kab. Tangerang,"Tempat dudukan cangkir belakang kursi mobil mini yang bagus, kait tempat penyimpanan tempat minum multifungsi, perlengkapan penyimpanan barang interior mobil",35000,3000,4.4,1
16227,Perlengkapan Pesta,Perawatan BORTE No.5,Jakarta Utara,"Beli 2 Dapat 1 Salep Jerawat Cepat Kempes - Terdaftar BPOM  Redakan Jerawat Batu & Merah | Tanpa Paraben, No Side Effect Berjerawat Memudarkan  Wajah Treatment Bruntusan Hitam Perawatan Perawatan",49800,4000,4.7,1
16228,Perlengkapan Pesta,Speedss Official Store,Surabaya,SPEEDS Kaki Katak Diving Fins Perlengkapan Snorkeling Menyelam Kaki Kodok Laut 017-615,144000,80,4.8,0
16229,Perlengkapan Pesta,NOVITA SASRIS,Jakarta Utara,Perlengkapan Belajar Pendidikan Siswa Perangko Penjumlahan dan Pengurangan Latihan Aritmatika Acak untuk Anak Sekolah Dasar dan TK Toys Perkalian Pembagian,107800,1000,4.8,1
16230,Perlengkapan Pesta,Aeekiy,Kab. Bekasi,"Aeekiy Krim Perawatan Sendi Krim pijat perawatan tubuh untuk lutut, tumit, bahu beku, dan nyeri pinggang",70000,1000,4.3,1
16231,Perlengkapan Pesta,Kreain Nature Official Store,Kab. Tangerang,"【A】KREAIN Kreain  Krim Kolagen Sendi, Menenangkan Nyeri Tulang Sendi, Krim Perbaikan Koreksi Deformasi",83700,2000,4.6,1
16232,Perlengkapan Pesta,PENGGACOR SEKETIKA,Jakarta Pusat,AMBROL VOER PERONTOK BULU UNTUK MURAI KACER DLL DIJAMIN AMBROL TOTAL,35250,2000,4.6,1
16233,Perlengkapan Pesta,BIO TALK,Jakarta Barat,[NEW LAUNCH] Biotalk Cool & Calming Shampoo | 250ml | Non SLS/SLES | Natural | Perawatan Kulit Kepala Gatal Ketombe Berkerak Sensitif,109900,3000,4.9,1
16234,Perlengkapan Pesta,MEDIKA99,Bekasi,VIROMAX Obat kuat pria_obat kuat-sex pria _perawatan Tubuh original resmi BPOM,110000,3000,5,1
16235,Perlengkapan Pesta,OUZI Perawatan Gigi,Kab. Tangerang,OUZI - BPOM hapus gigi kuning pergi  pasta gigi bubuk gigi hitam plak gigi karang gigi nafas segar gigi probiotik pearl Tooth cleaning powder paste gigi halitosis Serbuk pembersih gigi,33900,10000,4.6,1
16236,Perlengkapan Pesta,ZPER Mall,Tangerang,【COD】ZPER Alat Semprot Tangki Sprayer Manual 18 Liter Elektrik ZP029 semprotan pertanian tangki semprot pertanian tangki semprot elektrik sprayer sprinkler  penyiram tanaman Air Biru semprotan pertanian elekt Watering & Irrigation tanpa garansi cerdas,416900,250,4.7,0
16237,Perlengkapan Pesta,KymmSkin,Kab. Sleman,"KYMM SKIN Micellar Water | Perawatan Pembersih Wajah Tanpa Bilas | Cleansing Remover Membersihkan Sisa Make Up, Debu, Minyak Berlebiih dan Kotoran yang Menempel di Kulit",32000,250,4.9,0
16238,Perlengkapan Pesta,garraetts,Jakarta Barat,Set Pancingan Caldari Lengkap | Reel Spinning 1000-7000 + Handle Power | Ratio 5.2:1 Metal Kuat | Murah untuk Pancing Air Tawar & Pantai,303998,500,5,0
16239,Perlengkapan Pesta,Bukuutama,Kab. Sleman,"[WIPE CLEAN BOOK] BUKU DETEKTIF CODING | Aktivitas Coding, Asah Logika Anak | Hardcover | Penerbit Alphabooks",99000,1000,4.9,1
